index,OPE ID,School,City_x,State_x,Zip Code,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Lat,Lng,City_y,State_y,Full Zip Code
254,2077,JOHNS HOPKINS UNIVERSITY,BALTIMORE,MD,21218,Private-Nonprofit,Subsidized,224,224,958199.0,224,514480.0,39.33031,-76.60235,Baltimore,MD,21218
255,1445,GEORGETOWN UNIVERSITY,WASHINGTON,DC,20057,Private-Nonprofit,Subsidized,1144,1144,4859742.0,1148,2438010.0,38.90892,-77.07511,Washington,DC,20057
256,1448,HOWARD UNIVERSITY,WASHINGTON,DC,20059,Private-Nonprofit,Subsidized,3051,3062,13535679.0,3062,6776657.0,38.92247,-77.02003,Washington,DC,20059
257,1459,STRAYER UNIVERSITY,WASHINGTON,DC,20005,Proprietary,Subsidized,12004,12022,37368594.0,12593,14444231.0,38.90443,-77.0316,Washington,DC,20005
258,1434,AMERICAN UNIVERSITY,WASHINGTON,DC,20016,Private-Nonprofit,Subsidized,1876,1878,8499687.0,1878,4447220.0,38.93822,-77.09139,Washington,DC,20016
259,1437,CATHOLIC UNIVERSITY OF AMERICA,WASHINGTON,DC,20064,Private-Nonprofit,Subsidized,921,921,4188745.0,921,2102428.0,38.93637,-76.99924,Washington,DC,20064
261,1460,TRINITY WASHINGTON UNIVERSITY,WASHINGTON,DC,20017,Private-Nonprofit,Subsidized,368,370,1444659.0,370,706170.0,38.93813,-76.99294,Washington,DC,20017
262,1443,GALLAUDET UNIVERSITY,WASHINGTON,DC,20002,Private-Nonprofit,Subsidized,70,70,328077.0,70,165259.0,38.90511,-76.98431,Washington,DC,20002
264,1509,NOVA SOUTHEASTERN UNIVERSITY-DAVIE,FORT LAUDERDALE,FL,33314,Private-Nonprofit,Subsidized,2069,2299,4725253.0,2299,4725253.0,26.06822,-80.22391,Fort Lauderdale,FL,33314
265,1535,UNIVERSITY OF FLORIDA,GAINESVILLE,FL,32611,Public,Subsidized,2940,2984,12562043.0,2984,6458232.0,29.6519684,-82.3249846,GAINESVILLE,FL,32611
266,1536,UNIVERSITY OF MIAMI,CORAL GABLES,FL,33146,Private-Nonprofit,Subsidized,1986,1994,8838125.0,1994,4481159.0,25.72059,-80.27274,Miami,FL,33146
267,9635,FLORIDA INTERNATIONAL UNIVERSITY,MIAMI,FL,33199,Public,Subsidized,5913,5914,13984595.0,5942,13984595.0,25.766368,-80.210268,MIAMI,FL,33199
268,1537,UNIVERSITY OF SOUTH FLORIDA,TAMPA,FL,33620,Public,Subsidized,5510,5530,12362565.0,5530,12362565.0,28.06112,-82.41172,Tampa,FL,33620
269,1479,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY,DAYTONA BEACH,FL,32114,Private-Nonprofit,Subsidized,3704,3721,15293600.0,3885,7545216.0,29.19312,-81.04915,Daytona Beach,FL,32114
271,3954,UNIVERSITY OF CENTRAL FLORIDA-MAIN CAMPUS,ORLANDO,FL,32816,Public,Subsidized,8538,8539,19253333.0,8555,19253333.0,28.60075,-81.19511,Orlando,FL,32816
272,1481,FLORIDA ATLANTIC UNIVERSITY,BOCA RATON,FL,33431,Public,Subsidized,4318,4318,18817204.0,4340,9593800.0,26.37996,-80.1028,Boca Raton,FL,33431
273,1489,FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,32306,Public,Subsidized,3982,3982,9005691.0,4009,9005691.0,30.44227,-84.29455,Tallahassee,FL,32306
274,1466,BARRY UNIVERSITY,MIAMI SHORES,FL,33161,Private-Nonprofit,Subsidized,1078,1080,4485831.0,1080,2297547.0,25.89357,-80.18285,Miami,FL,33161
276,1480,FLORIDA AGRICULTURAL & MECHANICAL UNIVERSITY,TALLAHASSEE,FL,32307,Public,Subsidized,2128,2156,9446601.0,2156,4764932.0,30.42173,-84.28686,Tallahassee,FL,32307
277,1538,UNIVERSITY OF TAMPA (THE),TAMPA,FL,33606,Private-Nonprofit,Subsidized,1658,1736,7337301.0,1737,3750932.0,27.93209,-82.46493,Tampa,FL,33606
278,1531,STETSON UNIVERSITY,DELAND,FL,32723,Private-Nonprofit,Subsidized,1071,1079,4756843.0,1079,2390091.0,29.03454,-81.30452,Deland,FL,32723
279,1468,SAINT THOMAS UNIVERSITY,MIAMI GARDENS,FL,33054,Private-Nonprofit,Subsidized,419,419,1685385.0,419,812891.0,25.90775,-80.25753,Opa Locka,FL,33054
280,1469,FLORIDA INSTITUTE OF TECHNOLOGY,MELBOURNE,FL,32901,Private-Nonprofit,Subsidized,1507,1547,5792914.0,1842,3041834.0,28.07887,-80.62268,Melbourne,FL,32901
281,6750,VALENCIA COLLEGE,ORLANDO,FL,32802,Public,Subsidized,4798,4838,17864092.0,4838,8953069.0,28.5421109,-81.3790304,ORLANDO,FL,32802
282,32553,FLORIDA GULF COAST UNIVERSITY,FORT MYERS,FL,33965,Public,Subsidized,2246,2246,9202844.0,2246,4566012.0,26.46126,-81.76862,Fort Myers,FL,33965
