OPE ID,SchoolName,Address,City,StateCode,ZipCode,Province,Country,PostalCode
E00835,FLORIDA NATIONAL UNIVERSITY - TRAINING A,4206 WEST 12 AVENUE,HIALEAH,FL,33012,NA,NA,NA
E00838,MILDRED ELLEY - PITTSFIELD,100 WEST STREET,PITTSFIELD,MA,01201,NA,NA,NA
E00840,COLORADO TECHNICAL UNIVERSITY - DENVER B,3151 SOUTH VAUGHN WAY,AURORA,CO,80014,NA,NA,NA
E00876,NEW MEXICO STATE UNIV.-DONA ANA CLG,P O BOX 30001  MSC 3DA,LAS CRUCES,NM,88003,NA,NA,NA
E00896,PLATT COLLEGE - MILLER-MOTTE - WILMINGTO,5000 MARKET STREET,WILMINGTON,NC,28405,NA,NA,NA
E00902,JOHN DEWEY COLLEGE,CAROLINA INDUSTRIAL PARK,CAROLINA,PR,00986,NA,NA,NA
E00906,MIDWESTERN UNIVERSITY,19555 NORTH 59TH AVENUE,GLENDALE,AZ,85308,NA,NA,NA
E00911,PACIFIC COLLEGE OF ORIENTAL MEDICINE - N,110 WILLIAM ST,NEW YORK,NY,10038,NA,NA,NA
E00912,LINCOLN TECHNICAL INSTITUTE,308 WEST ROUTE 38,MOORESTOWN,NJ,08057,NA,NA,NA
E00913,LINCOLN TECHNICAL INSTITUTE,240 BERGEN TOWN CENTER,PARAMUS,NJ,07652,NA,NA,NA
E00914,PLATT COLLEGE,3700 INLAND EMPIRE BLVD STE400,ONTARIO,CA,91764,NA,NA,NA
E00933,RASMUSSEN COLLEGE - NEW PORT RICHEY,2127 GRAND BOULEVARD,NEW PORT RICHEY,FL,34690,NA,NA,NA
E00947,UNITED EDUCATION INSTITUTE - UEI MORROW,1564 SOUTHLAKE PARKWAY,MORROW,GA,30260,NA,NA,NA
E00953,INTERACTIVE LEARNING SYSTEMS,"1078 CITIZENS PARKWAY, SUITE A",MORROW,GA,30260,NA,NA,NA
E00959,PLATT COLLEGE - ANAHEIM,1551 SOUTH DOUGLASS ROAD,ANAHEIM,CA,92806,NA,NA,NA
E00960,INTERACTIVE COLLEGE OF TECHNOLOGY,2323 BROWNS BRIDGE ROAD,GAINESVILLE,GA,30501,NA,NA,NA
E00961,TRINITY INTERNATIONAL UNIV-CA,2200 N. GRAND AVE,SANTA ANA,CA,92705,NA,NA,NA
E00970,PLATT COLLEGE - MILLER-MOTTE TECHNICAL -,8085 RIVERS AVENUE,NORTH CHARLESTON,SC,29418,NA,NA,NA
E00978,BRIGHTWOOD COLLEGE - BEAUMONT,PARKDALE MALL,BEAUMONT,TX,77706,NA,NA,NA
E00983,PACIFIC COLLEGE OF ORIENTAL MEDICINE - C,65 E. WACKER PLACE,CHICAGO,IL,60601,NA,NA,NA
