OPE ID,School,State,Zip Code,School Type,PROCESSED IN Q2 Dependent Students,PROCESSED IN Q2 Independent Students,PROCESSED IN Q2 Quarterly Total,AWARD YEAR TO DATE Dependent Students,AWARD YEAR TO DATE Independent Students,AWARD YEAR TO DATE Award Year To Date Total
116400,CHAPMAN UNIVERSITY                      ,CA,92866-1099,Private      ,"4,494","1,952","6,446","15,432","2,995","18,427"
116500,CHURCH DIV SCH OF THE PACIFIC           ,CA,94709-0000,Private      ,0,38,38,0,43,43
116600,CITRUS COLLEGE                          ,CA,91741-1899,Public       ,"3,066","1,952","5,018","5,055","3,086","8,141"
116900,CLAREMONT GRADUATE UNIVERSITY           ,CA,91711-6163,Private      ,11,496,507,31,713,744
117000,CLAREMONT MCKENNA COLLEGE               ,CA,91711-6400,Private      ,723,58,781,"3,147",119,"3,266"
117100,HARVEY MUDD COLLEGE                     ,CA,91711-5990,Private      ,667,29,696,"2,947",66,"3,013"
117200,PITZER COLLEGE                          ,CA,91711-6101,Private      ,550,39,589,"2,045",75,"2,120"
117300,POMONA COLLEGE                          ,CA,91711-6301,Private      ,"1,239",110,"1,349","5,712",225,"5,937"
117400,SCRIPPS COLLEGE                         ,CA,91711-3948,Private      ,493,74,567,"2,153",130,"2,283"
117600,WEST HILLS COMMUNITY COLLEGE            ,CA,93210-1399,Public       ,554,306,860,"1,051",481,"1,532"
117700,UNIVERSITY OF SILICON VALLEY            ,CA,95134-1697,Proprietary  ,274,140,414,609,238,847
117800,COLLEGE OF MARIN                        ,CA,94904-2590,Public       ,565,401,966,964,646,"1,610"
117900,NOTRE DAME DE NAMUR UNIVERSITY          ,CA,94002-1997,Private      ,5,77,82,38,115,153
118100,COLLEGE OF SAN MATEO                    ,CA,94402-3784,Public       ,"1,616",627,"2,243","2,420","1,010","3,430"
118200,COLLEGE OF THE DESERT                   ,CA,92260-9305,Public       ,"2,804","1,847","4,651","4,930","2,915","7,845"
118300,HOLY NAMES UNIVERSITY                   ,CA,94619-1699,Private      ,77,80,157,445,221,666
118500,COLLEGE OF THE REDWOODS                 ,CA,95501-9300,Public       ,600,759,"1,359","1,271","1,377","2,648"
118600,COLLEGE OF THE SEQUOIAS                 ,CA,93277-2234,Public       ,"3,606","1,776","5,382","6,522","3,064","9,586"
118700,COLLEGE OF THE SISKIYOUS                ,CA,96094-2899,Public       ,269,221,490,416,334,750
119000,CONTRA COSTA COLLEGE                    ,CA,94806-3195,Public       ,"1,132",823,"1,955","1,738","1,260","2,998"
119100,DIABLO VALLEY COLLEGE                   ,CA,94523-1544,Public       ,"2,770","1,374","4,144","4,115","2,110","6,225"
119200,CUESTA COLLEGE                          ,CA,93403-8106,Public       ,"1,934",805,"2,739","3,098","1,620","4,718"
119300,CYPRESS COLLEGE                         ,CA,90630-5897,Public       ,"5,052","2,390","7,442","8,032","3,974","12,006"
119600,DOMINICAN UNIVERSITY OF CALIFORNIA      ,CA,94901-2298,Private      ,712,367,"1,079","1,940",609,"2,549"
119700,EL CAMINO COLLEGE                       ,CA,90506-0002,Public       ,"6,158","3,583","9,741","9,468","5,376","14,844"
119900,FOOTHILL COLLEGE                        ,CA,94022-4597,Public       ,"1,875","1,059","2,934","2,968","1,600","4,568"
120000,FULLER THEOLOGICAL SEMINARY             ,CA,91182-0000,Private      ,1,309,310,6,433,439
120100,FULLERTON COLLEGE                       ,CA,92832-2095,Public       ,"6,418","2,694","9,112","10,401","4,428","14,829"
120200,GAVILAN COLLEGE                         ,CA,95020-9599,Public       ,938,454,"1,392","1,440",767,"2,207"
120300,GLENDALE COMMUNITY COLLEGE              ,CA,91208-2894,Public       ,"3,309","2,135","5,444","4,954","3,319","8,273"
120500,GOLDEN GATE UNIVERSITY                  ,CA,94105-2967,Private      ,113,949,"1,062",334,"1,411","1,745"
120600,GOLDEN WEST COLLEGE                     ,CA,92647-2748,Public       ,"2,746","1,555","4,301","4,689","2,430","7,119"
120700,GRADUATE THEOLOGICAL UNION              ,CA,94709-0000,Private      ,0,39,39,1,62,63
120800,GROSSMONT COLLEGE                       ,CA,92020-1799,Public       ,"3,347","2,045","5,392","5,674","3,552","9,226"
120900,HARTNELL COMMUNITY COLLEGE              ,CA,93901-1697,Public       ,"2,551",840,"3,391","4,582","1,459","6,041"
121200,HUMPHREYS UNIVERSITY                    ,CA,95207-3896,Private      ,50,224,274,113,343,456
121400,IMPERIAL VALLEY COLLEGE                 ,CA,92251-9787,Public       ,"2,122","1,059","3,181","3,738","1,712","5,450"
121500,LA SIERRA UNIVERSITY                    ,CA,92515-3332,Private      ,"1,152",372,"1,524","2,692",597,"3,289"
121600,UNIVERSITY OF LA VERNE                  ,CA,91750-4443,Private      ,"2,033","1,563","3,596","5,725","2,802","8,527"
121700,LASSEN COLLEGE                          ,CA,96130-3000,Public       ,127,122,249,223,218,441
121800,LOMA LINDA UNIVERSITY                   ,CA,92350-0001,Private      ,523,"2,346","2,869","1,583","3,472","5,055"
121900,LONG BEACH CITY COLLEGE                 ,CA,90808-1780,Public       ,"7,729","4,520","12,249","12,139","7,582","19,721"
122000,MASTER'S COLLEGE & SEMINARY (THE)       ,CA,91321-1200,Private      ,585,196,781,"1,397",274,"1,671"
122300,LOS ANGELES CITY COLLEGE                ,CA,90029-3588,Public       ,"3,366","3,486","6,852","5,615","5,447","11,062"
122400,LOS ANGELES HARBOR COLLEGE              ,CA,90744-2397,Public       ,"1,707","1,162","2,869","2,424","1,737","4,161"
122600,LOS ANGELES PIERCE COLLEGE              ,CA,91371-0001,Public       ,"4,400","2,681","7,081","6,589","3,974","10,563"
122700,LOS ANGELES TRADE TECH COLLEGE          ,CA,90015-4181,Public       ,"4,815","2,970","7,785","7,138","4,580","11,718"
122800,LOS ANGELES VALLEY COLLEGE              ,CA,91401-4096,Public       ,"3,019","2,434","5,453","4,624","3,751","8,375"
122900,SO CA UNIV  HEALTH SCIENCES             ,CA,90604-4051,Private      ,36,509,545,60,859,919
123000,MARSHALL B. KETCHUM UNIVERSITY          ,CA,92831-1699,Private      ,20,500,520,46,702,748
123200,AMERICAN RIVER COLLEGE                  ,CA,95841-4286,Public       ,"5,914","5,183","11,097","9,749","8,409","18,158"
123300,SACRAMENTO CITY COLLEGE                 ,CA,95822-1386,Public       ,"5,378","4,364","9,742","9,079","7,002","16,081"
123600,MENLO COLLEGE                           ,CA,94027-4301,Private      ,357,35,392,790,71,861
123700,MERCED COMMUNITY COLLEGE                ,CA,95348-2898,Public       ,"2,692","1,363","4,055","5,015","2,350","7,365"
123900,MIRACOSTA COLLEGE                       ,CA,92056-3899,Public       ,"2,084","1,719","3,803","3,645","2,894","6,539"
124000,MODESTO JUNIOR COLLEGE                  ,CA,95350-5800,Public       ,"4,184","2,408","6,592","7,649","4,955","12,604"
124200,MONTEREY PENINSULA COLLEGE              ,CA,93940-4799,Public       ,"1,272",709,"1,981","2,431","1,294","3,725"
124300,MOUNT SAINT MARY'S UNIVERSITY           ,CA,90049-1599,Private      ,995,671,"1,666","2,599","1,083","3,682"
124500,MT. SAN ANTONIO COLLEGE                 ,CA,91789-1399,Public       ,"7,835","5,251","13,086","12,394","7,442","19,836"
124600,MT SAN JACINTO COLLEGE                  ,CA,92583-2399,Public       ,"4,112","2,887","6,999","7,551","5,274","12,825"
124700,NAPA VALLEY COLLEGE                     ,CA,94558-6236,Public       ,"1,078",472,"1,550","1,784",838,"2,622"
124900,OCCIDENTAL COLLEGE                      ,CA,90041-3314,Private      ,"1,323",102,"1,425","4,912",198,"5,110"
125000,ORANGE COAST COLLEGE - FIN AID OFF      ,CA,92628-5005,Public       ,"5,345","2,198","7,543","9,044","3,445","12,489"
125100,OTIS COLLEGE OF ART AND DESIGN          ,CA,90045-3505,Private      ,"1,076",244,"1,320","2,652",403,"3,055"
125200,HOPE INTERNATIONAL UNIVERSITY           ,CA,92631-0000,Private      ,252,231,483,627,370,997
125300,FRESNO PACIFIC UNIVERSITY               ,CA,93702-4798,Private      ,"1,084","1,431","2,515","2,944","2,359","5,303"
125500,PACIFIC OAKS COLLEGE                    ,CA,91103-3606,Private      ,22,529,551,52,832,884
125600,PACIFIC SCHOOL OF RELIGION              ,CA,94709-0000,Private      ,0,40,40,0,49,49
125800,PACIFIC UNION COLLEGE                   ,CA,94508-9797,Private      ,342,173,515,630,254,884
125900,PALO VERDE COLLEGE                      ,CA,92225-0000,Public       ,100,139,239,169,230,399
126000,PALOMAR COLLEGE                         ,CA,92069-1486,Public       ,"3,718","2,216","5,934","7,015","3,769","10,784"
126100,PASADENA CITY COLLEGE                   ,CA,91106-2003,Public       ,"6,164","3,502","9,666","9,989","5,674","15,663"
126200,POINT LOMA NAZARENE UNIVERSITY          ,CA,92106-2899,Private      ,"1,832","1,067","2,899","5,417","1,627","7,044"
126600,LANEY COLLEGE                           ,CA,94607-4893,Public       ,"1,382","1,787","3,169","2,202","2,927","5,129"
126700,MERRITT COLLEGE                         ,CA,94619-3196,Public       ,999,"1,300","2,299","1,559","1,997","3,556"
126800,PORTERVILLE COLLEGE                     ,CA,93257-6059,Public       ,782,474,"1,256","1,756",861,"2,617"
126900,RIO HONDO COLLEGE                       ,CA,90601-1699,Public       ,"4,096","2,032","6,128","6,392","3,151","9,543"
127000,RIVERSIDE CITY COLLEGE                  ,CA,92506-1299,Public       ,"7,723","4,791","12,514","14,054","7,415","21,469"
127200,SAN BERNARDINO VALLEY COLLEGE           ,CA,92410-2798,Public       ,"3,003","3,039","6,042","5,566","5,299","10,865"
127300,SAN DIEGO CITY COLLEGE                  ,CA,92101-4787,Public       ,"3,387","3,333","6,720","6,111","5,469","11,580"
127500,SAN DIEGO MESA COLLEGE                  ,CA,92111-4996,Public       ,"3,698","3,018","6,716","6,440","4,793","11,233"
127800,SAN FRANCISCO CONSERVATORY OF MUSIC     ,CA,94122-4498,Private      ,152,245,397,443,331,774
128000,SAN JOAQUIN DELTA COLLEGE               ,CA,95207-6370,Public       ,"4,215","2,301","6,516","7,281","4,023","11,304"
128100,WILLIAM JESSUP UNIVERSITY               ,CA,95765-3784,Private      ,395,215,610,912,427,"1,339"
128200,SAN JOSE CITY COLLEGE                   ,CA,95128-2797,Public       ,"2,421","1,583","4,004","3,864","2,456","6,320"
128400,SANTA ANA COLLEGE                       ,CA,92706-3398,Public       ,"4,044","2,263","6,307","6,425","3,426","9,851"
128500,SANTA BARBARA CITY COLLEGE              ,CA,93109-2394,Public       ,"2,949",986,"3,935","5,200","1,782","6,982"
128600,SANTA MONICA COLLEGE                    ,CA,90405-1644,Public       ,"5,699","3,317","9,016","9,502","5,192","14,694"
128700,SANTA ROSA JUNIOR COLLEGE               ,CA,95401-4395,Public       ,"2,765","1,574","4,339","4,865","2,578","7,443"
128800,CLAREMONT SCHOOL OF THEOLOGY            ,CA,91711-0000,Private      ,3,33,36,5,50,55
128900,SHASTA COLLEGE                          ,CA,96049-7692,Public       ,"1,534","1,519","3,053","2,547","2,634","5,181"
129000,SIERRA COLLEGE                          ,CA,95677-3397,Public       ,"4,979","2,113","7,092","7,611","3,407","11,018"
129100,SIMPSON UNIVERSITY                      ,CA,96003-8606,Private      ,465,278,743,836,440,"1,276"
129200,SOLANO COMMUNITY COLLEGE                ,CA,94534-3197,Public       ,"1,629","1,061","2,690","2,681","1,813","4,494"
129300,VANGUARD UNIVERSITY OF SOUTHERN CA      ,CA,92626-6597,Private      ,"1,211",236,"1,447","2,750",398,"3,148"
129400,SOUTHWESTERN COLLEGE                    ,CA,91910-7299,Public       ,"4,119","2,312","6,431","6,590","3,609","10,199"
129500,SOUTHWESTERN LAW SCHOOL                 ,CA,90010-1106,Private      ,31,"1,055","1,086",62,"1,349","1,411"
129600,DOMINICAN SCH PHILOSOPHY & THEOLOGY     ,CA,94709-0000,Private      ,3,8,11,5,14,19
130200,SAINT MARY'S COLLEGE OF CALIFORNIA      ,CA,94556-0000,Private      ,"1,164",375,"1,539","3,013",559,"3,572"
130500,STANFORD UNIVERSITY                     ,CA,94305-6106,Private      ,"6,951","1,890","8,841","40,448","3,868","44,316"
