index,OPE ID,School,City,State,Zip Code,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
735,2330,WESTERN MICHIGAN UNIVERSITY,KALAMAZOO,MI,49008,Public,Subsidized,5351,5478,23702123,5478,12041912
829,2423,MISSISSIPPI STATE UNIVERSITY,MISSISSIPPI STATE,MS,39762,Public,Subsidized,5213,5247,22800568,5247,12033112
8638,1139,"CALIFORNIA STATE UNIVERSITY, LONG BEACH",LONG BEACH,CA,90840,Public,Unsubsidized - Graduate,1490,1519,23561749,1525,12008426
989,2806,ROCHESTER INSTITUTE OF TECHNOLOGY,ROCHESTER,NY,14623,Private-Nonprofit,Subsidized,5158,5182,23323574,5182,12008360
1482,3599,UNIVERSITY OF TEXAS - RIO GRANDE VALLEY,EDINBURG,TX,78539,Public,Subsidized,5657,5740,23475807,5740,11973374
8945,9800,RUSH UNIVERSITY,CHICAGO,IL,60612,Private-Nonprofit,Unsubsidized - Graduate,1033,1043,18290186,1043,11955882
380,6385,CHAMBERLAIN UNIVERSITY,ADDISON,IL,60101,Proprietary,Subsidized,8119,8123,33387427,10273,11951495
4483,1370,UNIVERSITY OF COLORADO BOULDER,BOULDER,CO,80309,Public,Unsubsidized - Undergraduate,5726,5823,23538299,5823,11930130
14295,3644,TEXAS TECH UNIVERSITY,LUBBOCK,TX,79409,Public,Parent Plus,1408,1438,23228159,1438,11913865
9000,1825,PURDUE UNIVERSITY,WEST LAFAYETTE,IN,47907,Public,Unsubsidized - Graduate,1123,1123,22129030,1123,11906873
14208,3451,COASTAL CAROLINA UNIVERSITY,CONWAY,SC,29526,Public,Parent Plus,1125,1142,22798977,1142,11894609
9723,3010,ANTIOCH UNIVERSITY,YELLOW SPRINGS,OH,45387,Private-Nonprofit,Unsubsidized - Graduate,1264,1344,21348068,1632,11887014
5556,3328,WEST CHESTER UNIVERSITY OF PENNSYLVANIA,WEST CHESTER,PA,19383,Public,Unsubsidized - Undergraduate,5546,5727,23068879,5727,11879047
17885,25042,WALDEN UNIVERSITY,MINNEAPOLIS,MN,55401,Proprietary,Grad Plus,1935,1965,33154052,1965,11867776
9492,2632,SETON HALL UNIVERSITY,SOUTH ORANGE,NJ,7079,Private-Nonprofit,Unsubsidized - Graduate,1223,1226,23878025,1226,11851662
17482,1774,UNIVERSITY OF CHICAGO (THE),CHICAGO,IL,60637,Private-Nonprofit,Grad Plus,794,832,35275758,834,11826372
5383,2906,APPALACHIAN STATE UNIVERSITY,BOONE,NC,28608,Public,Unsubsidized - Undergraduate,6156,6247,22940333,6247,11784922
4886,4625,DELGADO COMMUNITY COLLEGE,,LA,,Public,Unsubsidized - Undergraduate,4416,4526,23453883,4526,11770262
5443,3077,MIAMI UNIVERSITY,OXFORD,OH,45056,Public,Unsubsidized - Undergraduate,5374,5681,22896453,5681,11742706
4549,23621,FULL SAIL UNIVERSITY,,FL,,Proprietary,Unsubsidized - Undergraduate,4534,4534,22723964,4782,11734066
945,2617,MONTCLAIR STATE UNIVERSITY,MONTCLAIR,NJ,7043,Public,Subsidized,5141,5141,16075643,5141,11732166
5129,2503,MISSOURI STATE UNIVERSITY,SPRINGFIELD,MO,65897,Public,Unsubsidized - Undergraduate,5018,5092,22883433,5092,11731688
13928,2905,NORTH CAROLINA AGRICULTURAL AND TECHNICAL STATE UNIVERSITY,GREENSBORO,NC,27411,Public,Parent Plus,1486,1552,22919233,1616,11726659
8931,10727,DEVRY UNIVERSITY,NAPERVILLE,IL,60563,Proprietary,Unsubsidized - Graduate,2133,2144,23893526,3776,11715422
9771,3170,OKLAHOMA STATE UNIVERSITY,STILLWATER,OK,74078,Public,Unsubsidized - Graduate,1121,1129,22136624,1129,11714387
96,1137,"CALIFORNIA STATE UNIVERSITY, FULLERTON",FULLERTON,CA,92831,Public,Subsidized,5119,5150,22398920,5151,11707707
5207,2589,UNIVERSITY OF NEW HAMPSHIRE,DURHAM,NH,3824,Public,Unsubsidized - Undergraduate,6917,7189,23191915,7189,11664961
1481,3661,UNIVERSITY OF TEXAS AT EL PASO,EL PASO,TX,79968,Public,Subsidized,5150,5163,22841127,5163,11605647
13207,1692,ILLINOIS STATE UNIVERSITY,NORMAL,IL,61790,Public,Parent Plus,1332,1397,22872487,1397,11598195
5124,2516,UNIVERSITY OF MISSOURI - COLUMBIA,COLUMBIA,MO,65211,Public,Unsubsidized - Undergraduate,5840,6082,22377143,6082,11588516
1650,3800,WASHINGTON STATE UNIVERSITY,PULLMAN,WA,99164,Public,Subsidized,5257,5325,22366156,5326,11579063
13463,2103,"UNIVERSITY OF MARYLAND, COLLEGE PARK",COLLEGE PARK,MD,20742,Public,Parent Plus,962,970,22319329,970,11574448
5217,2609,ROWAN UNIVERSITY,GLASSBORO,NJ,8028,Public,Unsubsidized - Undergraduate,5965,5977,22586275,5977,11564622
12913,1151,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,92182,Public,Parent Plus,1231,1269,22922280,1269,11557365
4639,1616,BOISE STATE UNIVERSITY,BOISE,ID,83725,Public,Unsubsidized - Undergraduate,4563,4748,22293334,4748,11552286
8777,1402,QUINNIPIAC UNIVERSITY,HAMDEN,CT,6518,Private-Nonprofit,Unsubsidized - Graduate,1084,1086,23087313,1110,11529609
10030,3599,UNIVERSITY OF TEXAS - RIO GRANDE VALLEY,EDINBURG,TX,78539,Public,Unsubsidized - Graduate,2400,2711,32550655,2711,11514679
5005,2325,UNIVERSITY OF MICHIGAN,ANN ARBOR,MI,48109,Public,Unsubsidized - Undergraduate,6236,6247,22393960,6290,11499754
4364,1139,"CALIFORNIA STATE UNIVERSITY, LONG BEACH",LONG BEACH,CA,90840,Public,Unsubsidized - Undergraduate,4755,4865,21793876,4869,11499113
14103,3258,DUQUESNE UNIVERSITY OF THE HOLY SPIRIT,PITTSBURGH,PA,15282,Private-Nonprofit,Parent Plus,782,825,22116390,825,11497156
8554,1024,UNIVERSITY OF WEST ALABAMA,LIVINGSTON,AL,35470,Public,Unsubsidized - Graduate,1820,1848,30951831,1848,11493187
10121,3696,UNIVERSITY OF VERMONT AND STATE AGRICULTURAL COLLEGE,BURLINGTON,VT,5405,Public,Unsubsidized - Graduate,803,803,20643352,803,11486677
8937,1758,SOUTHERN ILLINOIS UNIVERSITY AT CARBONDALE,CARBONDALE,IL,62901,Public,Unsubsidized - Graduate,1041,1072,20878430,1072,11476649
13203,1671,DEPAUL UNIVERSITY,CHICAGO,IL,60604,Private-Nonprofit,Parent Plus,1432,1442,31863670,1443,11460784
9227,2218,SUFFOLK UNIVERSITY,BOSTON,MA,2108,Private-Nonprofit,Unsubsidized - Graduate,1127,1128,21536390,1128,11451510
5380,2905,NORTH CAROLINA AGRICULTURAL AND TECHNICAL STATE UNIVERSITY,GREENSBORO,NC,27411,Public,Unsubsidized - Undergraduate,6436,6985,22787058,7012,11436074
9043,1869,IOWA STATE UNIVERSITY OF SCIENCE & TECHNOLOGY,AMES,IA,50011,Public,Unsubsidized - Graduate,921,923,19510784,948,11434673
1438,3510,MIDDLE TENNESSEE STATE UNIVERSITY,MURFREESBORO,TN,37130,Public,Subsidized,5160,5292,21733535,5292,11431751
17171,1313,"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,CA,95616,Public,Grad Plus,774,797,23821540,1063,11425914
8599,1109,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,LITTLE ROCK,AR,72205,Public,Unsubsidized - Graduate,805,813,22131753,813,11418203
5006,2329,WAYNE STATE UNIVERSITY,DETROIT,MI,48202,Public,Unsubsidized - Undergraduate,4779,4895,22661510,4895,11404040
642,2099,TOWSON UNIVERSITY,TOWSON,MD,21252,Public,Subsidized,5341,5383,22462841,5383,11323713
9493,2617,MONTCLAIR STATE UNIVERSITY,MONTCLAIR,NJ,7043,Public,Unsubsidized - Graduate,1364,1364,19406444,1364,11320788
5011,2259,EASTERN MICHIGAN UNIVERSITY,YPSILANTI,MI,48197,Public,Unsubsidized - Undergraduate,4561,4882,22164927,4882,11296431
496,1892,UNIVERSITY OF IOWA,IOWA CITY,IA,52242,Public,Subsidized,5090,5091,11257373,5091,11257373
13612,3969,UNIVERSITY OF MINNESOTA - TWIN CITIES,MINNEAPOLIS,MN,55455,Public,Parent Plus,1299,1324,21657254,1324,11225394
4807,1928,KANSAS STATE UNIVERSITY,MANHATTAN,KS,66506,Public,Unsubsidized - Undergraduate,4912,5435,22038050,5435,11223895
270,21519,KEISER UNIVERSITY,,FL,,Private-Nonprofit,Subsidized,5547,5607,20230336,6329,11208878
9224,2128,BOSTON COLLEGE,CHESTNUT HILL,MA,2467,Private-Nonprofit,Unsubsidized - Graduate,1141,1143,22353222,1143,11204729
17184,10395,UNIVERSITY OF SAN DIEGO,SAN DIEGO,CA,92110,Private-Nonprofit,Grad Plus,927,1003,22978222,1003,11189558
4806,1948,UNIVERSITY OF KANSAS,LAWRENCE,KS,66045,Public,Unsubsidized - Undergraduate,5012,5213,21685684,5213,11161580
1430,3530,UNIVERSITY OF TENNESSEE,KNOXVILLE,TN,37996,Public,Subsidized,4984,4990,21353929,4990,11157563
1164,3100,OHIO UNIVERSITY,ATHENS,OH,45701,Public,Subsidized,5080,5129,21381660,5137,11156399
1385,3425,CLEMSON UNIVERSITY,CLEMSON,SC,29634,Public,Subsidized,4885,4961,21314135,4961,11152340
4360,1153,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE",NORTHRIDGE,CA,91330,Public,Unsubsidized - Undergraduate,4562,4665,21315910,4665,11149279
12901,1164,CHAPMAN UNIVERSITY,ORANGE,CA,92866,Private-Nonprofit,Parent Plus,830,835,21874232,870,11137886
4842,1989,UNIVERSITY OF KENTUCKY,LEXINGTON,KY,40506,Public,Unsubsidized - Undergraduate,5636,5880,22107685,5880,11128617
14313,3636,TEXAS CHRISTIAN UNIVERSITY,FORT WORTH,TX,76129,Private-Nonprofit,Parent Plus,627,634,21646821,634,11096615
18080,2838,STATE UNIVERSITY OF NEW YORK AT STONY BROOK,STONY BROOK,NY,11794,Public,Grad Plus,988,1036,22024235,1036,11096536
4728,1786,BALL STATE UNIVERSITY,MUNCIE,IN,47306,Public,Unsubsidized - Undergraduate,5466,5573,21002696,5573,11096469
18084,2751,LONG ISLAND UNIVERSITY,BROOKVILLE,NY,11548,Private-Nonprofit,Grad Plus,738,757,22114152,757,11054999
